Date,Return
10/27/2014,-0.007709139
10/28/2014,-0.002489126
10/29/2014,0.013713044
10/30/2014,0.001907048
10/31/2014,0.00427035
11/3/2014,-0.006894764
11/4/2014,0.009266878
11/5/2014,0.005740576
11/6/2014,0.003924806
11/7/2014,-0.003733249
11/10/2014,-0.015235276
11/11/2014,-0.00718106
11/12/2014,0.001053412
11/13/2014,0.020643353
11/14/2014,-0.002049131
11/17/2014,0.001930393
11/18/2014,-0.002997331
11/19/2014,-0.022725618
11/20/2014,0.008443474
11/21/2014,-0.005807986
11/24/2014,0.020122518
11/25/2014,0.021925628
11/26/2014,0.004817247
11/28/2014,0.008945021
12/1/2014,-0.00235323
12/2/2014,0.005425013
12/3/2014,-0.015966534
12/4/2014,-0.004805291
12/5/2014,0.003545888
12/8/2014,0.006725528
12/9/2014,0.003696063
12/10/2014,-0.006695238
12/11/2014,-0.020627352
12/12/2014,-0.009104883
12/15/2014,0.00934377
12/16/2014,-0.008543917
12/17/2014,-0.006827547
12/18/2014,-0.009016682
12/19/2014,0.01014184
12/22/2014,-0.009388351
12/23/2014,-0.006987083
12/24/2014,0.029706933
12/26/2014,0.025608696
12/29/2014,0.009384373
12/30/2014,0.00858669
12/31/2014,-0.027789526
1/2/2015,0.004450593
1/5/2015,0.005089239
1/6/2015,-0.016495504
1/7/2015,-0.017239874
1/8/2015,0.007741985
1/9/2015,0.018023297
1/12/2015,-0.005099833
1/13/2015,-0.013715318
1/14/2015,0.007612625
1/15/2015,-0.023745229
1/16/2015,0.015067996
1/20/2015,-0.012938636
1/21/2015,-0.010397649
1/22/2015,-0.018439515
1/23/2015,0.00716888
1/26/2015,0.021851407
1/27/2015,-0.022257098
1/28/2015,-0.028043621
1/29/2015,-0.006064469
1/30/2015,-0.008973786
2/2/2015,0.002053865
2/3/2015,0.014839998
2/4/2015,-0.00574181
2/5/2015,-0.008766756
2/6/2015,0.000567781
2/9/2015,0.014391611
2/10/2015,-0.006715366
2/11/2015,0.009364181
2/12/2015,0.006852709
2/13/2015,0.014012079
2/17/2015,0.039816518
2/18/2015,0.005640899
2/19/2015,-0.003022822
2/20/2015,-0.009774811
2/23/2015,-0.014534239
2/24/2015,-0.036148425
2/25/2015,0.02279005
2/26/2015,0.010475998
2/27/2015,0.024342743
3/2/2015,-0.007863199
3/3/2015,0.00980268
3/4/2015,-0.008467925
3/5/2015,0.012152395
3/6/2015,0.03391559
3/9/2015,-0.009836886
3/10/2015,-0.015025878
3/11/2015,-0.002667737
3/12/2015,-0.001888342
3/13/2015,-0.019439326
3/16/2015,-0.007261541
3/17/2015,-0.031886403
3/18/2015,-0.005170302
3/19/2015,0.000323655
3/20/2015,-0.03946564
3/23/2015,0.0004583
3/24/2015,-0.007911351
3/25/2015,-0.005256265
3/26/2015,-0.03286935
3/27/2015,0.006989304
3/30/2015,-0.023564565
3/31/2015,0.002228209
4/1/2015,0.000156174
4/2/2015,0.001683703
4/6/2015,-0.005240081
4/7/2015,-0.004924509
4/8/2015,-0.014831487
4/9/2015,-0.00260824
4/10/2015,-0.013622732
4/13/2015,0.004356218
4/14/2015,-0.000511426
4/15/2015,-0.001175145
4/16/2015,-0.063457683
4/17/2015,0.003628077
4/20/2015,-0.080025269
4/21/2015,-0.017370013
4/22/2015,-0.000945742
4/23/2015,-0.000169398
4/24/2015,-0.033440234
4/27/2015,0.016140361
4/28/2015,0.023909978
4/29/2015,0.006360546
4/30/2015,-0.002488738
5/1/2015,0.018499009
5/4/2015,0.00835368
5/5/2015,-0.005486125
5/6/2015,0.021854744
5/7/2015,-0.0240263
5/8/2015,-0.010211163
5/11/2015,-0.018218958
5/12/2015,0.004483493
5/13/2015,-0.005585747
5/14/2015,0.018274944
